订单号,产品类别,销售数量,单价,销售额
6805677496,家居用品,10,199,1990
5857234132,食品,5,29,145
5888085059,电子产品,5,399,1995
6823473137,食品,3,29,87
6801664364,食品,2,19,38
5897064217,图书,4,29,116
6857752388,服装,7,-29,-203
6898807429,服装,6,199,1194
5875402232,电子产品,9,299,2691
5888085066,图书,2,99,198
5808071569,食品,9,29,261
6890234923,家居用品,10,199,1990
5891597362,电子产品,3,89,267
6880065056,图书,8,39,312
5804178086,电子产品,10,199,1990
5878551159,图书,5,39,195
5812573980,食品,2,79,158
5835623429,图书,6,49,294
5852698441,家居用品,6,49,294
5852807025,服装,10,399,3990
6893087111,食品,10,89,890
5871374068,图书,5,129,645
5894724625,电子产品,9,2999,26991
6867258691,服装,8,129,1032
5875023454,电子产品,8,2999,23992
6837065480,服装,3,399,1197
5854211330,食品,9,59,531
5840958148,服装,6,299,1794
6842052369,家居用品,1,39,39
5816896128,食品,4,129,516
6821256262,图书,6,49,294
5837205437,服装,2,149,298
6816687256,服装,7,249,1743
6867240278,服装,8,149,1192
6859288203,电子产品,2,39,78
5815847468,电子产品,5,1299,6495
6870668206,家居用品,6,89,534
6871778377,食品,2,19,38
6896363474,图书,7,39,273
6857955578,图书,5,59,295
5864587553,服装,8,29,232
6861733608,家居用品,2,39,78
5848602769,食品,1,49,49
6896687125,食品,2,39,78
5809051775,电子产品,9,89,801
5828073333,家居用品,2,49,98
5820473594,服装,7,249,1743
5823379341,电子产品,1,5999,5999
5835099410,图书,4,89,356
6842655345,食品,7,89,623
6872501498,家居用品,4,39,156
6803742747,电子产品,2,299,598
5835714436,服装,2,129,258
6807804795,电子产品,9,39,351
6872340030,家居用品,5,39,195
6840254213,食品,10,29,290
5870793859,食品,6,39,234
5876880041,服装,2,249,498
6885078432,家居用品,7,3999,27993
5805524413,食品,5,69,345
6802066319,服装,4,199,796
5876009437,食品,7,69,483
6857386517,食品,4,29,116
6893849823,电子产品,3,199,597
6818686763,家居用品,6,199,1194
6818771197,服装,4,899,3596
6803345146,电子产品,10,399,3990
6857671635,电子产品,1,49,49
6888558142,服装,5,59,295
5802859418,家居用品,2,49,98
5857892499,食品,6,59,354
6881307037,服装,6,599,3594
6882472708,食品,5,89,445
6896836654,家居用品,1,399,399
6807517971,电子产品,1,299,299
6868450800,图书,9,59,531
5835168341,服装,5,129,645
6862213600,电子产品,9,49,441
5817942253,家居用品,9,49,441
6838419156,服装,1,199,199
6832672046,服装,2,349,698
6882641183,食品,1,79,79
5882040279,图书,3,39,117
5856960206,食品,3,49,147
6835930946,服装,2,299,598
6884401422,图书,9,49,441
6817646898,家居用品,8,39,312
5824138220,图书,3,39,117
5810483850,家居用品,5,5999,29995
6874228092,电子产品,1,299,299
5825937662,电子产品,6,39,234
6899540878,家居用品,4,5999,23996
6815202927,家居用品,8,299,2392
5803850839,电子产品,6,199,1194
6850947020,家居用品,5,39,195
5840069589,图书,3,99,297
6882159173,食品,7,89,623
6847661479,食品,8,19,152
5848428039,食品,10,199,1990
6868231493,食品,5,19,95
5832758970,服装,8,699,5592
6899145716,图书,8,29,232
6893625569,服装,8,129,1032
5863393961,电子产品,2,249,498
6827358966,图书,6,99,594
5878543628,家居用品,10,29,290
5824298537,服装,8,349,2792
6868959743,图书,4,49,196
6826045080,服装,3,199,597
5855176585,图书,5,59,295
6856521224,服装,6,699,4194
5838735887,图书,7,99,693
5863809863,家居用品,2,59,118
5818261249,食品,6,199,1194
5845257567,图书,9,59,531
6876712100,家居用品,1,39,39
5854511595,食品,2,89,178
5894610701,家居用品,2,89,178
6865301539,食品,4,89,356
5862128107,家居用品,3,3999,11997
6885746519,电子产品,4,249,996
6892321515,食品,10,79,790
5883797573,食品,7,49,343
5818113431,家居用品,8,5999,47992
6883278187,家居用品,1,59,59
6818053882,食品,4,69,276
5891955361,电子产品,5,39,195
5883983174,家居用品,10,399,3990
5866054840,图书,10,99,990
5821394002,家居用品,1,79,79
5839652877,图书,5,39,195
5866179578,电子产品,2,5999,11998
6860644623,电子产品,1,129,129
5817207922,服装,7,499,3493
6826538206,电子产品,7,299,2093
